Sub_id1,Sub_id2,click_hour,click_day_of_week,commission_level
colgateOpticWhite,purple,1,6,0
colgateOpticWhite,purple,1,6,0
oppo,blue,3,2,1
nude,purple,5,3,1
nude,purple,4,3,1
nude,purple,3,3,0
nude,purple,3,3,1
nude,purple,3,3,0
nude,purple,3,3,0
nude,purple,3,3,1
nude,purple,3,3,0
nude,purple,3,3,0
nude,purple,3,3,0
nude,purple,3,3,0
colgateOpticWhite,purple,2,3,1
colgateOpticWhite,purple,2,3,0
nude,red,1,3,0
nude,purple,1,3,1
nude,purple,1,3,0
colgateOpticWhite,purple,0,6,0
oppo,red,12,1,1
judydoll,purple,22,6,1
judydoll,purple,22,6,1
judydoll,purple,9,2,1
judydoll,purple,9,2,1
judydoll,purple,1,1,0
judydoll,purple,1,1,0
judydoll,purple,1,1,0
oppo,red,13,1,1
judydoll,purple,1,1,1
nude,purple,7,6,1
nude,purple,7,6,0
judydoll,purple,2,1,0
judydoll,red,1,2,1
judydoll,blue,23,1,1
colgateOpticWhite,purple,1,6,1
colgateOpticWhite,purple,1,6,0
colgateOpticWhite,purple,1,6,0
colgateOpticWhite,purple,0,6,1
colgateOpticWhite,purple,0,6,0
colgateOpticWhite,purple,0,6,0
colgateOpticWhite,purple,0,6,0
colgateOpticWhite,purple,0,6,0
colgateOpticWhite,purple,0,6,0
colgateOpticWhite,purple,0,6,0
colgateOpticWhite,purple,11,0,1
colgateOpticWhite,purple,11,0,0
judydoll,purple,2,1,1
judydoll,purple,2,1,0
judydoll,purple,0,1,0
colgateOpticWhite,purple,1,6,1
colgateOpticWhite,purple,5,6,1
colgateOpticWhite,purple,5,6,0
colgateOpticWhite,purple,5,6,1
judydoll,purple,15,1,1
colgateOpticWhite,red,10,0,1
judydoll,purple,23,6,1
judydoll,purple,1,1,0
judydoll,purple,1,1,0
judydoll,purple,5,1,1
colgateOpticWhite,purple,17,1,1
colgateOpticWhite,purple,13,1,1
colgateOpticWhite,purple,1,6,1
colgateOpticWhite,purple,1,6,1
colgateOpticWhite,purple,1,6,0
colgateOpticWhite,purple,1,6,0
colgateOpticWhite,purple,1,6,0
colgateOpticWhite,purple,1,6,0
colgateOpticWhite,purple,1,6,1
colgateOpticWhite,purple,1,6,0
colgateOpticWhite,purple,1,6,0
colgateOpticWhite,purple,1,6,0
colgateOpticWhite,purple,1,6,0
judydoll,purple,1,1,0
nude,purple,8,0,1
judydoll,purple,10,1,1
judydoll,purple,4,1,1
nude,purple,3,0,1
oppo,purple,18,6,1
oppo,purple,18,6,0
nude,purple,0,0,0
judydoll,purple,1,1,1
nude,purple,11,1,0
nude,purple,5,1,1
nude,purple,5,1,0
judydoll,purple,3,1,1
oppo,purple,19,6,1
oppo,purple,19,6,1
colgateOpticWhite,purple,1,6,1
colgateOpticWhite,purple,1,6,0
colgateOpticWhite,purple,1,6,0
colgateOpticWhite,purple,1,6,0
colgateOpticWhite,purple,0,6,1
colgateOpticWhite,purple,0,6,0
colgateOpticWhite,purple,0,6,0
colgateOpticWhite,purple,1,6,1
colgateOpticWhite,purple,1,6,1
nude,purple,0,0,1
colgateOpticWhite,purple,12,0,1
colgateOpticWhite,purple,1,6,1
colgateOpticWhite,purple,1,6,0
colgateOpticWhite,red,6,1,1
judydoll,purple,3,1,0
judydoll,purple,3,1,1
oppo,purple,8,3,1
oppo,purple,8,3,1
colgateOpticWhite,red,2,1,1
colgateOpticWhite,red,2,1,0
judydoll,purple,1,1,1
judydoll,purple,1,1,0
judydoll,purple,1,1,1
judydoll,purple,1,1,0
judydoll,purple,1,1,0
judydoll,purple,1,1,0
colgateOpticWhite,red,1,1,1
judydoll,purple,0,1,0
judydoll,purple,0,1,1
judydoll,red,22,6,0
judydoll,red,22,6,0
judydoll,red,22,6,0
colgateOpticWhite,purple,10,0,1
colgateOpticWhite,purple,10,0,1
colgateOpticWhite,purple,10,0,1
judydoll,purple,21,0,0
judydoll,purple,21,0,0
judydoll,purple,21,0,0
oppo,red,1,0,1
nude,purple,20,0,0
judydoll,purple,22,2,0
oppo,purple,22,3,0
nude,purple,10,0,1
nude,purple,4,0,1
